token,project,flaky
"APP fw1 2009-06-24 02:43:13,958 WARN _L8_:323   f1 streamLog End workflow state change  2009-06-24 02:43:13,958 WARN _L10_:323 !@#$%^&*() blah blah  Check if the lines of the log contain the expected strings 2009-06-24 02:43:13,958 DEBUG _L4_:323 ABC split _L4_ getTestCaseDir 2009-06-24 02:43:13,958 DEBUG _L2_:323 + 2009-06-24 02:43:13,958 DEBUG _L3_:323 JOB TOKEN 2009-06-24 02:43:13,958 DEBUG _L1_:323 - write setLogLevel str contains _L3_ reset 2009-06-24 02:43:13,958 WARN _L7_:323 +  checks that this condition is no longer required sb1  filtering shouldn't care whether or not there is a dash while the last five lines don't pass the normal filtering DEBUG|INFO 2009-06-24 02:43:13,958 WARN _L6_:323 - System out GROUP testStreamLogNoDash 14-200904160239--example-forkjoinwf oozie.log _L2_ defineParameter setParameter logStatement currTime close sw /oozie.log XLogStreamer 2009-06-24 02:43:13,958 DEBUG _L5_:323 !@#$%^&*() blah blah assertEquals USER xf 2009-06-24 02:43:13,958 WARN _L9_:323 ABC ACTION currentTimeMillis _L1_ toString _L5_ append setLastModified ",oozie,1
testTwoStepWriteConnectTimeout os expected timeout e LOG connect timed out getMessage TEST_TIMEOUT assertEquals /file fs fail IOUtils cleanup startSingleTemporaryRedirectResponseThread create ,hadoop,1
"getBlockLocations fileName expectedReplicaCount dfsClientReadFileFromPosition dfsClientReadFile replicaCount verifyFirstBlockCorrupted createAFileWithCorruptedBlockReplicas get verifyCorruptedBlockCount getNamenode repl corruptBlocReplicas verifyFsckHealth blocks filePath         * The order of data nodes in LocatedBlock returned by name node is sorted         * by NetworkToplology#pseudoSortByDistance. In current MiniDFSCluster,         * when LocatedBlock is returned, the sorting is based on a random order.        * That is to say, the DFS client and simulated data nodes in mini DFS        * cluster are considered not on the same host nor the same rack.        * Therefore, even we corrupted the first two block replicas based in         * order. When DFSClient read some block replicas, it is not guaranteed         * which block replicas (good/bad) will be returned first. So we try to         * re-read the file until we know the expected replicas numbers is         * returned.         dfs Target Replicas is 3 but found 1 replica /tmp/testClientReportBadBlock/CorruptTwoOutOfThreeReplicas testCorruptTwoOutOfThreeReplicas Long getLocations toString testFsckListCorruptFilesBlocks ",hadoop,1
WORKER_CAPACITY_BYTES CommonUtils WriteType assertFalse getUsedBytes USER_QUOTA_UNIT_BYTES delete getFile TestUtils Assert file assertTrue get fileURI  Delete non-existing files. workers uniqPath getWorkersInfo createByteFile SLEEP_MS assertEquals k sleepMs getCapacityBytes exist getFileId writeBytes deleteFileTest size isInMemory sTfs fileId ,alluxio,1
"<!-- yarn.nodes.exclude -->  excludesLen excludes        getExcludedHosts <host><name>host1</name></host>  assertTrue <host><name>10001</name><timeout>123</timeout></host>  get <hosts>  </hosts>  #Hosts-in-DFS  <host><name>host2</name><timeout>123</timeout></host>  write close getHosts    somehost 	  somehost2   somehost4 host5 host4 hostDetails excludesXmlFile <?xml version=""1.0""?>  host6 host1 containsKey host3 host2 includesFile <host><name>10000</name></host>  assertEquals getHostDetails     * Test if timeout values are provided in HostFile     <host><name>host4,host5, host6</name> hfp getExcludedMap size efw <timeout>1800</timeout></host>     somehost3 	 # somehost5 10000 <host><name>10002</name><timeout>-1</timeout></host>  testHostFileReaderWithTimeout 10002 ifw 10001 <host><name>host3</name><timeout>-1</timeout></host>  includesLen ",hadoop,0
CredentialProviderFactory conf ourUrl testLocalJksProvider delete fs LocalJavaKeyStoreProvider tmpDir path file assertTrue 777 getFileStatus setPermission  check permission retention after explicit change rw------- test.jks unnestUri set getPermission checkSpecificProvider isFile toUri assertEquals getFileSystem  should exist Unexpected permissions:  jksPath ://file checkPermissionRetention toString ProviderUtils ,hadoop,0
inheritWF false parentLibs2 parentLibs3 checkSubworkflowLibHelper parentLibs1 parentLibs4 parentLibs5 childLibs1 expectedLibs1 expectedLibs2 expectedLibs3 expectedLibs4 inherit child2.so expectedLibs5 same.jar childLibs3 childLibs2 childLibs5 child1.jar childLibs4 testCreateProtoConfWithSubWorkflowLib6 ,oozie,1
cancel request A server dispatch setBody newCall execute url getUrl fail /a cancelInFlightBeforeResponseReadThrowsIOE build setDispatcher get client tag ,okhttp,1
" => same timestamp => not modified assertFalse when getHeader  => strange timestamp => modified isModified Thu, 01 Jan 1970 00:00:00 GMT assertTrue Thu, 01 Jan 1971 00:00:00 GMT of context  => no if modified since request => null Optional thenReturn etag_xyz STRANGE_TIMESTAMP  test etag support: httpCacheToolkit  remove etag to test modified timestamp caching:  => older timestamp => modified etag_xyz_modified  same etag => not modified ninjaProperties  new etag => modified  => newer timestamp => not modified testIsModified HttpHeaderConstants ",ninja,0
"checkFatalsAndReset waitForElectorState serverFactory timeout sleep ensureParentZNode  Let elector 1 be standby verify closeSession waitForActiveLockData ========================== Quitting election info getServer  due to receiving the ""expired"" event.  Should enter neutral mode when disconnected zks LOG  by quitting elector 0 and ensuring elector 1 doesn't become active getZKSessionIdForTests  Should re-join the election and go back to STANDBY enterNeutralMode ActiveStandbyElectorTestUtil ========================== Expiring standby's session quitElection Thread never testHandleSessionExpirationOfStandby cbs Mockito becomeActive State joinElection electors  Let elector 0 be active appDatas PARENT_DIR ",hadoop,0
play data  play it back android assertFalse assertStreamData headerEntries  verify the peer received what was expected source acceptFrame stream openStreamCount TYPE_HEADERS assertTrue peer connection writeUtf8 takeFrame banana a b synReply serverClosesClientInputStream assertEquals HeadersMode square  SYN_STREAM sendFrame SPDY3 getSource synStream newStream ,okhttp,1
/blah/my%2fid/and/some/more/stuff entrySet buildRoute  decoded this would be /blah/my/id/and/some/more/stuff getPathParametersEncoded assertEquals my%2fid routeFromServer matches routeWithUrlEncodedSlashGetsChoppedCorrectly route size assertTrue GET get routeBuilder id /blah/{id}/.* ,ninja,0
p1 p2 getKMSUrl conf Should fail since provider p1 threw RuntimeException when times testClientRetriesWithRuntimeException assertTrue verify thenThrow kp e anyString thenReturn createKey eq any setInt CommonConfigurationKeysPublic fail never test3 Mockito mock ,hadoop,0
"getJobTrackerUri </configuration> createContext cacheFilesStr context create getCacheFiles <job-tracker> eActionXml actionLibPath ae  Test adding a directory </value></property> actionlibs parseXml </job-tracker> getFileSystem  Test adding a directory and a file (comma separated) , <name-node> </name-node> setupLauncherConf setLibFilesArchives contains mkdirs Arrays jobConf cacheFiles jar3.jar <java> getAppPath jar3Path testActionLibsPath createBaseHadoopConf actionXml DistributedCache <job-xml>job.xml</job-xml> assertTrue <property><name>oozie.launcher.oozie.libpath</name><value> <job-xml>job2.xml</job-xml> jar2Path close getNameNodeUri jar1Path </java> XmlUtils jar1.jar <main-class>MAIN-CLASS</main-class> <configuration>  Test adding a file toString jar2.jar getFsTestCaseDir ",oozie,1
END_POINTS IS_SECURITY_ENABLED lib pigScriptFile oozieUrl conf wc /test localhost:9001 pig libPath INPUT=input.txt assertTrue testSubmitPig getTestCaseDir get SERVLET_CLASSES write close runTest getContextURL XOozieClient MockDagEngineService hdfs://localhost:9000 assertEquals getFileSystem params submitScriptLanguage call OozieClient mkdirs setProperty wfCount createConfiguration toString writer a = load '${INPUT}';  dump a; getFsTestCaseDir ,oozie,1
"@ closeTrx coordClient getStore getTime LocalOozie Could not update db. -testCoordRerun-C getCoordClient rerunScope getErrorCode assertTrue get beginTrx CoordinatorAction reRunCoord actionNum2 commitTrx actionNum1 coord-rerun-action2.xml 2009-12-15T01:00Z,2009-12-16T01:00Z,2009-12-17T01:00Z RestConstants printStackTrace e store actionId2 addRecordToJobTable jobId actionId1 Services fail CoordinatorJob ex addRecordToActionTable testCoordRerunDateNeg 0000000- toString ErrorCode Exception expected because one action is missing from db. coord-rerun-action1.xml ",oozie,1
calendar add rfsSink set getTime Calendar getTimeInMillis assertEquals testUpdateRollTime getInstance The next roll time should have been 1 second in the future updateFlushTime setTime The next roll time should have been 990 ms in the future ,hadoop,0
"getTime getStatus myapp XML schema error, cvc-pattern-valid: Value '${someParam}'  Expected status was FAILED due to incorrect XML element <start to='${someParam}' /> mytoken getErrorCode assertTrue get me CoordinatorAction action is not facet-valid with respect to pattern -COORD-ActionStartCommand-C@1 myjob testActionStartWithErrorReported assertEquals execute wfApp call Services fail contains addRecordToActionTable actionId toString ErrorCode jpaService getErrorMessage ",oozie,1
play  Verify the peer received what was expected. android Okio TYPE_DATA headerEntries Util getSink out acceptFrame flush TYPE_HEADERS peer variant client connection buffer write close takeFrame banana a b synReply setVariantAndClient  DATA assertEquals frameCount  SYN_STREAM sendFrame clientSendsEmptyDataServerDoesntSendWindowUpdate SPDY3  Play it back. newStream ,okhttp,1
ce createCoordinatorEngine getFilterParams assertEquals streamLog services runJobsImpl filter jobId DagXLogInfoService service get testStreamLog4NullNull ,oozie,1
storePassword getResource toCharArray serverSocket newSingleThreadExecutor Executors serverSslContext asList getServerSocketFactory Assert bind assertNotNull nopassword isWindows create Boolean SSLContextBuilder /test-client.p12 localhost startHandshake localPort loadKeyMaterial loadTrustMaterial resource2 thrown setSoTimeout /test-server.p12 resource1 accept contains testSSLHandshakeProtocolMismatch1 createSocket clientSslContext TIMEOUT Arrays supportedServerProtocols getSupportedProtocols getLocalPort submit supportedClientProtocols clientSocket SSLv3 TLSv1 assertTrue keyPassword close connect setEnabledProtocols call getSocketFactory expect build toMillisecondsIntBound socket getSession createServerSocket ,httpcore,0
conf Should have thrown an exception here asList testEntriesExpireIfBackgroundRefreshFails advance timer cacheGroupsAdd me  stops throw exceptions getGroups  load must be called synchronously as there is no key present CommonConfigurationKeys clearBlackList groups refresh FakeGroupMapping assertThat  will be retrievable until it is evicted after about 10 seconds. fail setLong myGroups size  We make an initial request to populate the cache setThrowException  Now make all calls to the FakeGroupMapper throw exceptions Arrays isEqualTo setBoolean ,hadoop,0
231 44 108 59 226 126 1 141 36 147  231 shifts to Base256 encodation 146 40 194 129 231 55 108 59 226 126 1 104 99 10 161 167 185 142 164 186 208 231 44 108 59 226 126 1 141 36 5 37 187 80 230 123 17 166 60 210 103 253 150  padding necessary at the end 231 63 108 59 226 126 1 141 36 5 37 187 80 230 123 17 166 60 210 103 1 129 231 38 220 2 208 120 20 150 35 Â«Ã¤Ã¶Ã¼Ã©Â» 231 38 219 2 208 120 20 150 35 Â«Ã¤Ã¶Ã¼Ã©Â» 23Â£ 1234567890123456789 146 40 190 87 Â«Ã¤Ã¶Ã¼Ã©Ã Â» assertEndsWith assertStartsWith visualized  Mixed Base256 + ASCII 33 153 235 36 129 assertEquals  220 142 164 186 208 58 129 59 209 104 254 150 45  23Â£ testBase256Encodation 231 44 108 59 226 126 1 104 createBinaryMessage  ASCII only (for reference) 231 51 108 59 226 126 1 104 99 153 53 129 Â«Ã¤Ã¶Ã¼Ã©Ã Ã¡Â» 231 51 108 59 226 126 1 141 254 129 Â«Ã¤Ã¶Ã¼Ã©Â» 234 encodeHighLevel ,zxing,0
/test/mkdirs File does not exist getMessage listStatus  does not exist. assertEquals getFileStatus of non-existent path should fail dir fs File  fail Exception doesn't indicate non-existant path listStatus of non-existent path should fail assertTrue getFileStatus fc testGetFileStatusOnNonExistantFileDir fe startsWith ,hadoop,1
"play User-Agent Baz=baz put setRequestProperty connection Collections write Cookie containsKey Foo setDefault getInputStream / getRequestProperties getUrl Content-type contains requestHeaders CookieHandler setDoOutput assertContainsAll Quux server request foo assertFalse cookieHandlerHeaders result putAll Cookie2 get emptyMap client Content-Length close keySet Quux: quux testHeadersSentToCookieHandler getHeaders takeRequest Cookie: Bar=bar singletonList Connection assertEquals Host Foo: foo Bar=bar       * The API specifies that calling getRequestProperties() on a connected instance should fail      * with an IllegalStateException, but the RI violates the spec and returns a valid map.      * http://www.mail-archive.com/net-dev@openjdk.java.net/msg01768.html       Cookie2: Baz=baz enqueue quux getOutputStream open ",okhttp,1
"deleteList addRecordToBundleActionTable getId actionC1 actionC2 actionA1 actionA2 deactivate Bundle Action A1 should not have been deleted Bundle Job A should not have been deleted Bundle Action A2 should not have been deleted Bundle Action C1 should not have been deleted jobB jobA assertNotNull  Remove fault injection jobC get testDeleteBundlesRollback Job getBundleId Bundle Job B should not have been deleted add Should have skipped commit for failover testing getCoordName Skipping Commit for Failover Testing addRecordToBundleJobTable Bundle Job C should not have been deleted getMessage assertEquals SkipCommitFaultInjection actionB1 execute actionB2 FaultInjection Bundle Action C2 should not have been deleted Services fail re org.apache.oozie.command.SkipCommitFaultInjection setSystemProperty true Bundle Action B1 should not have been deleted Bundle Action B2 should not have been deleted  set fault injection to true, so transaction is roll backed jpaService ",oozie,1
 Construct prepare XML block with the path  Parse the XML to get the node </prepare> doOperations <delete path=' Expected to catch an exception but did not encounter any Expected a LauncherException but received an Exception conf fs delete test/oozietests/testDelete/delete getDocumentFromXML createJobConf path trim Scheme not present in uri  LauncherMapper <prepare> '/> testForNullScheme getNamedItem item getAttributes  Delete the file if it is already there getDocumentElement getMessage assertEquals getFileSystem n getNodeValue fail  Construct a path without scheme newDir  Test for null scheme value in the path for action prepareXML exists doc le PrepareActionsDriver setupLauncherURIHandlerConf getChildNodes ,oozie,1
getBooleanWithDefault test Optional thenReturn NinjaConstant invoke when param1 empty booleanParamWithOptional context create verify booleanParamWithOptionalShouldHandleWrongInputForBooleanInStrictMode ninjaProperties mockController getParameter ,ninja,0
bundleJobGetCmd addRecordToBundleJobTable getId assertEquals getStatus execute call Services assertNotNull get testBundlePauseUnpause2 Job job jpaService ,oozie,1
 getClass </prepare> doOperations Expected to catch an exception but did not encounter any Expected a LauncherException but received an Exception conf fs delete getCause createJobConf Content is not allowed in prolog. LauncherMapper <mkdir path=' '/> actionDir  Delete the file if it is already there getMessage testDoOperationsWithInvalidXML assertEquals getFileSystem prepare>  Test to check if LauncherException is thrown when the prepare XML block is invalid fail newDir prepareXML exists le setupLauncherURIHandlerConf PrepareActionsDriver getFsTestCaseDir ,oozie,1
"setName user2Acl parsedList FsAction Parsed Acl not correct group1Acl parseAclSpec setPermission group::rwx,user:user1:rwx,user:user2:rw-, basicAcl user1 add user2 AclEntryScope AclEntryType expectedList AclEntry user1Acl assertEquals setType group:group1:rw-,default:group:group1:rw- group1 build defaultAcl setScope testMultipleAclSpecParsing ",hadoop,0
badMatrix setRegion expectedMatrix flipMatrix invertedCenterMatrix assertEquals fullMatrix matrix unset fail emptyMatrix clone xor centerMatrix dataMatrix testXOR ,zxing,0
"keys values  remove elements testBasicOperations  the element should not exist after remove  check all elements exist in the set and the data is correct  check the set size put remove  check all elements exist in the set and the data is updated to new value  generate new elements with same key, but new data get isZero getData newElements element isNotNull set generateElements cElements isFalse getKeys assertThat  put all elements isTrue contains size elements isNull  update the set isEqualTo  test LightWeightHashGSet#values ",hadoop,0
addRecordToBundleActionTable addRecordToWfActionTable coordActionGetCmd getNumDaysToNotBePurged testPurgeBundleWithCoordChildWithWFChild1 DateUtils WorkflowInstance getStatus addRecordToCoordActionTable parseDateOozieTZ bundleJob BundleJobBean assertNotNull CoordinatorAction Job wfAction wfJobGetCmd Bundle Action should not have been purged execute Bundle Job should not have been purged CoordinatorJob 1 coordJobGetCmd fail WorkflowAction coordAction SUCCEEDED Workflow Action should not have been purged bundleJobGetCmd getId coordJob wfJob addRecordToWfJobTable get Workflow Job should not have been purged WorkflowJob getAppName bundleAction wfActionGetCmd Coordinator Action should not have been purged 2011-01-01T01:00Z addRecordToBundleJobTable assertEquals getLastModifiedTime addRecordToCoordJobTable Coordinator Job should not have been purged call Services coord-action-get.xml jpaService bundleActionGetCmd ,oozie,1
ssBean getExpectedDuration getActualEnd getTime actEnd assertFalse getEventStatus EventStatus getExpectedStart setInsertList cal bean1 assertNotNull expEnd bean2 get _createSLASummaryBean getActualDuration isStartProcessed getActualStart setTime add getJobStatus actStart RUNNING getJobId _createSLACalcBean isEndProcessed workflow-1 Calendar assertEquals writeCmd expStart list readCmd2 execute readCmd1 scBean getExpectedEnd Services jpaService wfId testInsert ,oozie,1
actionNum testCoordActionGet prettyPrint XmlUtils  Pass expected values getCoordConf getId conf appPath addRecordToCoordJobTable resourceXmlName CoordinatorJob createCoordAction coord coord-action-get.xml _testGetForInputCheckX  Insert the action CoordinatorAction action insertRecordCoordAction toString job getFsTestCaseDir ,oozie,1
cancel addDelegationTokens boom conf Time when fs getRenewQueueLength sleep doAnswer getRenewToken now token1 token2 verify atMost myservice getConf doReturn renewer removeRenewAction assertEquals eq addRenewAction getService Thread testGetNewTokenOnRenewFailure doThrow setDelegationToken answer service mock atLeast renew getDelegationToken RENEW_CYCLE ,hadoop,0
"getConfString 2010-10-01T00:00Z conf DateUtils parseDateOozieTZ createInstancesELEvaluator TimeUnit expr event CoordELEvaluator setNominalTime XmlUtils  System.out.println(""OUTPUT :"" + eval.evaluate(expr, String.class)); parseXml <uri-template>file:///tmp/coord/US/${YEAR}/${MONTH}/${DAY}</uri-template></dataset></data-in> ${coord:current(0)} assertEquals <dataset name=""a"" frequency=""1440"" initial-instance=""2009-01-01T00:00Z"" freq_timeunit=""MINUTE"" timezone=""UTC"" end_of_duration=""NONE""> 2009-09-08T00:00Z setActualTime appInst setTimeUnit eval  -1)); <data-in name=""A"" dataset=""a""><uris>file:///tmp/coord/US/2009/1/30|file:///tmp/coord/US/2009/1/31</uris> testCreateInstancesELEvaluator dataEvntXML evaluate 2009-09-08T01:00Z ",oozie,1
"cluster NameNodeAdapter ns racks conf waitForReplication /rack2 /rack1 fs createFile testUnderReplicatedUsesNewRacks  All datanodes are on the same rack  sure at least one of the hosts on the new rack is used. DFSTestUtil b startDataNodes getConf newRacks filePath getFileSystem setReplication REPLICATION_FACTOR getNameNode /testFile build numDataNodes  Create a file with one block getFirstBlock shutdown getNamesystem     * Creates a block with all datanodes on the same rack. Add additional    * datanodes on a different rack and increase the replication factor,     * making sure there are enough replicas across racks. If the previous    * test passes this one should too, however this test may pass when    * the previous one fails because the replication code is explicitly    * triggered by setting the replication factor.     ",hadoop,1
getName getChecksumFile fsdos  the data file should be moved: dataFileLength  check that the files exist in the new location where they were moved: badFilesDir getFileStatus create checksumFsdis  check the the checksum file is created and not empty: setWritable pathToFile pathname accept dataFileName contains mkdirs fileSys writeUTF dir1files FileUtil isDirectory checksumFileLength foo dataPath dataFileFound badFiles assertTrue getLen retryIsNecessary checksumFileFound testReportChecksumFailure close listFiles  the checksum file should be moved: corruptedData dataFsdis toURI reportChecksumFailure length dir2 canWrite badFile dir1 checksumPath .crc equals  corrupted files storage: exists open base startsWith ,hadoop,0
oldToken testURLSelectTokenIpPort testURLSelectToken ,hadoop,0
date ALL scriptExecutor should_dsl_update_list_prepend session LOCAL_ONE  Given update simple Eq consistencylist consistencyList_PrependTo containsExactly QUORUM  When getList of where id row table executeScriptTemplate RandomUtils manager one nextLong assertThat execute SimpleEntity/insert_single_row.cql ImmutableMap SELECT consistencylist FROM simple WHERE id =   Then Long buildDateKey fromBaseTable consistencyList dsl ,achilles,1
"normalizedHosts assertFalse testNormalizeHostName asList Network not resolving  UnknownHost123 oneHost StringUtils  for normalizing a resolvable hostname, resolved ipaddress is expected in return get 1.kanyezone.appspot.com getByName join ] localhost summary hosts normalizeHostNames  when ipaddress is normalized, same address is expected in return assertEquals  normalized [  return the same hostname after normalizing a irresolvable hostname. assumeTrue NetUtils ,   its ipaddress is expected to return equals Element 2 equal  Assume Element 1 equal  original [ Arrays InetAddress 127.0.0.1 ",hadoop,0
cluster  Create threads and make them run workload concurrently. initBuffer testFiles conf fs Waiting for thread  createFile System waitActive globalStatus assertTrue testComplexAppend Worker encountered exceptions.  retry numDatanodes join close replication add   DFSConfigKeys  wait for all transactions to get over start workload getFileSystem nextInt testComplexAppend fileContents stm numThreads AppendTestUtil setInt / testFile numberOfFiles dfs.support.append build numDataNodes  complete.  to complete... shutdown setBoolean .dat ,hadoop,1
getClass getPackage getName set before AvroReflectSerialization conf assertEquals SerializationTestUtil testSerialization after testReflectInnerClass ,hadoop,0
"<execution>LIFO</execution> </controls> <datasets>  xmlns=""uri:oozie:coordinator:0.2""> <controls> <timeout>10</timeout> <concurrency>2</concurrency>  conf </input-events>  appPath sc </property></configuration> </workflow> </action> </coordinator-app> writeToFile appXml <coordinator-app name=""NAME"" frequencyERROR=""10"" start=""2009-02-01T01:00Z"" end=""2009-02-03T23:59Z"" timezone=""UTC""  <property> <name>inputB</name> <value>${coord:dataOut('LOCAL_A')}</value>  file:// getTestCaseDir UNIT_TESTING <dataset name=""local_a"" frequency=""120"" initial-instance=""2009-02-01T01:00Z""  <output-events> <data-out name=""LOCAL_A"" dataset=""local_a"">  timezone=""UTC""> <uri-template>file:///tmp/coord/workflows/${YEAR}/${DAY}</uri-template> </dataset>  coordinator.xml set <configuration> <property> <name>inputA</name> <value>${coord:dataIn('A')}</value> </property>  <dataset name=""a"" frequency=""60"" initial-instance=""2009-02-01T01:00Z""  call OozieClient fail testSchemaError getTestUser </datasets> <input-events>  <instance>${coord:current(-1)}</instance> </data-out> </output-events> <action> <workflow> <app-path>hdfs:///tmp/workflows/</app-path>  Exception expected if schema has errors! <data-in name=""A"" dataset=""a""> <instance>${coord:latest(0)}</instance> </data-in>   File ",oozie,1
"testKeepaliveTimeouts  cached socket, and should have an xceiver on the other side. assertXceiverCount dn  give an EOF. dfsClient fs createFile sleep peer assertNotNull get  Clients that write aren't currently re-used. DFSTestUtil KEEPALIVE_TIMEOUT read assertEquals getInputStream Thread TEST_FILE size  from it again. readFile  and make sure the xceiver died. getDatanodeId ",hadoop,1
END_POINTS IS_SECURITY_ENABLED submit oozieUrl run conf appPath -submit assertNotNull get -config create workflow.xml createPropertiesFileWithTrailingSpaces testPropertiesWithTrailingSpaces SERVLET_CLASSES close confStr runTest app getContextURL getConf MockDagEngineService assertEquals getFileSystem args call OozieClient node -oozie mkdirs reset toString job getFsTestCaseDir ,oozie,1
payload1 payload2 payload3 inBuffer readableChannel Assert assertNotNull FrameType get of testReadFrameMultipleSmallBuffer getPayloadContent read frame3 frame1 valueOf frame2 getStreamId assertEquals ByteBuffer remaining FrameFlag allocate getType getFlags ,httpcore,0
bundleJobGetExecutor addRecordToBundleJobTable getId assertEquals getStatus execute testBundleStart1 call sleep Services size assertNotNull get bundleActionsGetExecutor isCritical Job job getBundleId jpaService actions ,oozie,1
request init chain set getRemoteAddr thenReturn destroy when testMissingHostname filter contains Assert assertNull Mockito HostnameFilter assertTrue doFilter response get mock invoked ??? ,oozie,1
" normalScript createNodeHealthScript timerTask Node health status reported healthy even after timeout assertFalse @echo off ping -n 4 127.0.0.1 >nul echo ""I am fine"" writeNodeHealthScriptFile conf run  Timeout script. NodeHealthScriptRunner  Normal Script runs successfully isHealthy sleep 4 echo ""I am fine"" Shell  Healthy script. Node health status reported unhealthy exit 127 assertTrue timeOutScript  Exit code 127 ERROR init  Error script. errorScript isEmpty getHealthReport assertEquals getTimerTask testNodeHealthScript echo ""I am all fine""  Run timer contains exitCodeScript nodeHealthScriptRunner Node health status reported healthy echo ERROR  echo ""Tracker not healthy"" ",hadoop,0
p@ssw0rd credential1 credential1 has been successfully  testTransientProviderWarning run assertEquals delete setConf deleted. cs user:/// rc -value contains -provider assertTrue transient provider. args1 create -f args2 toString outContent WARNING: you are modifying a  ,hadoop,0
cluster sub getCurrentUser conf lsr run assertTrue ugi root setPermission results UserGroupInformation getShortUserName createUserForTesting createTree tmpUGI getFileSystem runLsr tmpusername testLsr dfs 1 doAs contains build numDataNodes mkdirs zzz shutdown ,hadoop,1
@ :: closeTrx coordClient getStore getTime LocalOozie 2009-12-15T01:00Z Could not update db. getStatus 2009-12-17T01:00Z -testCoordRerun-C getCoordClient rerunScope get beginTrx CoordinatorAction reRunCoord actionNum2 commitTrx actionNum1 coord-rerun-action2.xml RestConstants printStackTrace store1 e store actionId2 addRecordToJobTable jobId actionId1 Services fail CoordinatorJob addRecordToActionTable assertNotSame testCoordRerunDate4 0000000- action1 action2 coord-rerun-action1.xml getCoordinatorAction ,oozie,1
"var-app-name checkCoordJobs </dataset>  </configuration> testBasicSubmitWithIncludeFile includePath conf <action> file:///tmp/include_xml/workflows/${YEAR}/${DAY} end=""2009-02-03T23:59Z"" timezone=""UTC"" xmlns=""uri:oozie:coordinator:0.2""> <controls>  </input-events>  <app-path>hdfs:///tmp/workflows/</app-path>  URI_TEMPLATE_INCLUDE_XML </datasets> <data-in> should be 2. One from coordinator.xml and the other from the include file assertNotNull file:// getTestCaseDir UNIT_TESTING processedJobXml </include> <dataset name=""B"" frequency=""${coord:days(7)}"" initial-instance=""2009-02-01T01:00Z"" timezone=""UTC""> </uri-template> getChild parseXml unchecked <execution>LIFO</execution> data-in URI_TEMPLATE_COORD_XML OozieClient jobId getChildren size <property> <name>inputA</name> <value>${coord:dataIn('inputB')}</value> </property>  getNamespace <workflow> -C  <input-events>  datainElements </workflow> <include>  </coordinator-app> </controls> job File <data-in name=""inputB"" dataset=""B""> <instance>${coord:latest(0)}</instance> </data-in>   <dataset name=""A"" frequency=""${coord:days(7)}"" initial-instance=""2009-02-01T01:00Z"" timezone=""UTC""> <coordinator-app name=""${appName}-foo"" frequency=""${coord:days(1)}"" start=""2009-02-01T01:00Z""  appPath substring include1.xml sc writeToFile appXml getJobXml uri-template </action> assertTrue get includeXml coordinator.xml set XmlUtils <datasets>  <data-in name=""inputA"" dataset=""A""> <instance>${coord:latest(0)}</instance> </data-in>   appName length <uri-template> assertEquals <configuration> file:///tmp/coord_xml/workflows/${YEAR}/${DAY} input-events call getChildText getTestUser namespace dataset ",oozie,1
fail adapterDoesNotSupport Assert adapter framework callMethod should not have been called runTests newFrameworkAndSetAdapter addTest execute isRequestSupported ,httpcore,0
allowSnapshot before sub1 assertFalse  Before a directory is snapshottable  After a directory is snapshottable path fsdir Assert assertTrue disallowSnapshot testAllowSnapshot hdfs toString after pathStr getINode ,hadoop,1
f0 f1 f2  Test that it can delete more than one file when necessary and that it works with non .gz files f3 f4 setMaxHistory cal f5 f6 f7 f8 oozie.log assertTrue getTestCaseDir blah.txt testDeletingOldFiles waitFor oozieLogPath add .gz  (instead of the time from the filename) Calendar getTimeInMillis  Test that it only deletes the oldest file (f1) getXLogService formatDateForFilename orp  only keep 3 newest logs  mock one instead. oozieLogName isTriggeringEvent exists createNewFile evaluate xls setLastModified ,oozie,1
Should have thrown JPAExecutorException printStackTrace e getId Error code should be E1022 addRecordToCoordActionTable execute addRecordToCoordJobTable System CoordinatorJob Services fail coord-action-get.xml getErrorCode assertNotNull get CoordinatorAction action coordRmvCmd testRunningActionDelete ErrorCode job jpaService ,oozie,1
uriHandlerFactory dt=09 getLauncherConfig handler getURIHandler dt=03 assertFalse uriService getPartitionDir conf delete year=2012;month=12;dt=02;country=us testDelete assertTrue getPartitions month=12;country=us uriHandler hcatURI table country=us dropTestTable assertEquals getFileSystem year=2012;month=12 createTestTable createPartitionForTestDelete getTestUser size location1 location2 exists db year=2012;month=12;dt=03;country=us getHCatURI ,oozie,1
_mkdirs defaultPerm testMkdirs_dirExists ,hadoop,0
add testDirectory testFile pathData getPathData ls options -e processOptions processArguments processPathFileDisplayECPolicyWhenUnsupported ,hadoop,0
